findings,label
Detection of adhesions was lower in Group I than Group II (Conclusions: Prophylactic administration of Mannitol in dogs undergoing laparoscopic gynaecological surgery reduces post-operative adhesion formation. (J Reprod Oncol 2014; 57: 863-870). (J Reprod Oncol 2016; 57: 860-864). (J Reprod Oncol 2017; 56: 866-871).,0
the identity is changed. Part 2. Data from screening patients. A report from the Scottish Screening Study Group. Scottish Screening Study Group. Scottish Screening Study Group. Scottish Screening Study Group. Scottish Screening Study Group. Scottish Screening Study Group. The Scottish Screening Study Group.. The Scottish Screening Study Group. Estimates of health-care costs. A report from the Department of Health. The overview.,0
"Identification of varices and capsule endoscopy enable diagnosis. ""Suitable terms"" and ""intestinal bleeding"" should be retained in English-language medical literature. ""Conclusions and discussion: Diagnosis of small bowel bleeding with capsule endoscopy is very important."" Sufficient knowledge of small bowel diseases could help general physicians to make a proper diagnosis of small bowel bleeding and orient medical practice. ""[...].",0
gastric antrum; cardiac and supra-cardiac folds; cardiac fold-gastric corpus; colonic polyps / caecal adenoma.radiological: face to midline rectal swelling; skull base imaging only.  BACKGROUND: Gastro-oesophageal reflux disease remains a controversial subject.  BACKGROUND: Reported incidence rates vary from 11 to > 50%.,0
"I significant impact on the treatment sequence. Series included 193 patients (138 being treated at the endoscopy center, 50 at the personal hospital emergency department)., This complete study allowed the description of a treatment protocol. I. Methods of treatment: Uncomplicated patients required urgent endoscopy and were initially treated with a standard regimen with intravenous hydration. A suboptimal gastroscopy control was used, that is, treatment guided by the appearance of the patient's stomach.",0
"increased granulation tissue, mucosal ulcer, and mucosal erosion; much better visualization of all layers compared to conventional endoscopy; epithelial enhancement; and global image quality the same or better compared to conventional endoscopy. ""Second, there was no difference between the two groups of endoscopists. (ABSTRACT TRUNCATED AT 400 WORDS) Br J OUTLINE.] It would be appropriate to reassess the use of HPIII and PTS videocapsule systems.",0
"38.75% were women, 72.73% of them were endoscoped in the outpatient department. II Oral cavity and oropharynx: 10.30% with symptoms of pathology, 40.99% of mucosal injury and 23.87% of inflammatory changes.  CONCLUSION: Means exist in the human population for reducing caries, especially tooth decay, but potentially erosive lesions may be created through specific components of oral hygiene, increased use of fluorides, improvement of dietetic",0
"there was a male predominance (70%). Apropos of 61 cases and without underlying diseases in 48. By comparing the patients' histories and endoscopic findings, we noted the following: multiple ulcerations (65%), multiple erythematous erosions (72%) and bile duct stenosis (84%) with evidence of peripheral obstruction (90.1%) in all cases; these findings led to a tentative diagnosis of acute abdominal disease in 49% of cases.",0
"Esophageal inflammation in the sample was 75%, laryngeal 71%, axillary 61% and chest 63%. RESULTS: Endoscopic findings: In gastric mucosa 60% had mainly mild inflammation, 44% moderate and 14% severe, while in colonic mucosa 11% had mainly mild inflammation, 64% moderate and 11% severe inflammation.] CONCLUSIONS: Endoscopic studies show less endoscopic abnormalities in patients with PD during a follow-up period, although some endoscopic patterns are found at more than a moderate degrees",0
Traditional sling procedure was technically challenging with loose mesh giving rise to more complications. (99m) TcO4-uptake suggested intact urinary tract in older patients. (18) Digital rectal examination revealed prominent levator muscles in the former group and normal in the latter. (18) The early side effects were similar between the 2 groups except dyspareunia was higher in the female sling group (p < 0.02) and anal urgency in the male sling group.,0
"This study revealed that granulation tissue like submucosal fibrotic nodule was the first manifestation in two cases in which endoscopy was done after the medication stopped. is the success rate. ""The other two cases with submucosal fibrotic nodule at the posterior wall of gastric antrum were treated surgically."" In other patients with endoscopically occult GI bleeding, small gastric ulcers were found by endoscopy. ",0
"a vision map is a platform for visualizing, manipulating and navigating endoscopic and operating systems. (table = OR from picture). (table = camera) Going on the endoscope, the surgeon views the 3D scene, and produces magnified, color-coded endoscopic or surgical images.  C-arm guidance has become a critical technology in the delivery of endoscopic surgery.",0
"In patients with PUB, the pus was dispersed in the gut lumen, and inflammatory cells were seen in 23 patients. ""Stone bowel disease"" was found in three patients (4.3%). ""Comorbid diseases: Chronic gastritis with Helicobacter pylori (H. pylori) infection was found in one patient (1.5%), and achalasia was found in one patient (1.5%).",0
"From an editor's point of view, clearingknife clipping appeared to be both desirable and easy to perform.  IMPLICATIONS FOR PRACTICE: In cardiac surgery using the cardiopulmonary bypass technique, there are many limitations in the currently available methods for hemostasis of major blood loss.  References: Double-lumen and interrupted sutures; Hasson and epsilon-aminocaproic acid (EACA); Hasson",0
"Antireflux surgery gave disappointing results with respect to outcome of esophagitis, erosions and Barrett's esophagus, while laparoscopic and endoscopic antireflux surgery gave satisfactory results. (ABSTRACT TRUNCATED AT 400 WORDS).) It was concluded that antireflux surgery is worthwhile if properly indicated.  For the surgeon, an adequate laparoscopic approach is mandatory in order to achieve results comparable with open surgery.",0
"The KLFS procedure for frontal sinus drainage resulted in a mean endoscopic score of 7.2 for frontal recess and 11.5 for the olfactory system.  RESPONSE FOR CLINICAL PRACTICE: The advantages of the KLFS procedure have been its low cost, suitability for a 24 hour postoperative regimen, preservation of the frontal bone and septum, and effectiveness at detecting nasosinusal polyposis and its metastases.",0
It shows a characteristic appearance through the panendoscopy characteristic of encapsulated sugar cane pickers. Here we present a case of encapsulated sugar cane pickers in a 9 year old female child in which patient attempted to swallow and swallow. Assessment: Patient's own cognitive assessment was able to tell us the effect on the make of disease. (J Blider Manage CP 2017; 8: 16).,0
49% of patients evaluated by once daily dosing have at least one injury to the heartburn area. Followed up: 22% (1 patient) had one injury to the oesophageal anterior wall with normal appearing mucosa and symptoms improvement of that area with 17% (4 patients). I.  Am. J.:.5. ,0
"another noninvasive therapy of diabetic neuropathy is more likely to be effective in our Western population. ""The mode of this evidence supports the greater use of endoscopy as a tool in the diagnostic assessment of diabetic neuropathy and in helping to formulate appropriate treatment.  TRUNCATED AT 250 WORDS) TRUNCATED AT 250 WORDS) TRUNCATED AT 250 WORDS) TRUNCATED AT 250 WORDS). A cost-effectiveness analysis of endoscopic screening for diabetic neuropathy is necessary for further evaluation of the potential usefulness of",0
"≥ 3 endoscopic leads (OR 3.86, 95% CI 1.39-10.55), cough ≥ 6 weeks (OR 2.31, 95% CI 1.39-3.98), high AHI (OR 1.47, 95% CI 1.04-2.10), glucose < 4.4 mmol / L (OR 2.26, 95% CI 1.21-4.26), and duration of symptoms ≥ 4 weeks (OR 2.23, 95% CI 1.21-4.21) were associated with 2-fold higher risk of",0
"It considered that 97.2% of the lesions were visible on the transverse and coronal section of the oesophagus and 9.5% were visible on the lateral section.  AEMEX FOR REHABILITATION SALTED FROM THE LEVEL OF EVIDENCE OF THE ALTERNATIVE CONSEQUENCES REVISED: they mainly considered esophgeal cancer and oesophageal cancer of the cardia (45.2% of total of 853 cases), and",0
"Reflux attacks were seen as sharply pointed to the anterior part of the esophagus just beyond the posteroinferior border of the larynx. (ABSTRACT TRUNCATED AT 400 WORDS) CEA shows most strongly this abnormality, and will indicate the extent of the lesion. ""The present study revealed that reflux and esophageal peptic ulcers occur in the same area at the same point of the esophageal wall and that in particular the gastroesophageal junction was the point which is most vulnerable to mild to moderate superficial gastritis.",0
"t = 2.54, 95% CI (1.65-3.74) p =.001, TG = 1.41, 95% CI (0.72-2.69) p =.36. ""Conclusions: Conclusions for practice and future research: Overall performance of sequential daytime and nighttime endoscopy was not affected by the prior history of HPS."" (Video Abstract available at: http: / / links.lww.com / ERCP / A796.).",0
"23 children with gastroenteric intussusception at or below 2 years of age. ""A cross-sectional analytic design was used."" A total of 35 cases were recruited. ""Tonsillectomies / adenotonsillectomies"" were an independent variable, while the dependent variables were the patients' Enright-Potter classified grades 2-4. ""The association between the independent and the dependent variables was tested with the Pearson's Chi-square test and risk ratio.",0
"of 198 primary and secondary carina stenoses there were in five cases carcinoma involvement of the trachea.  URL: The endoscopic approach to both benign and malignant stenoses is well suited for all patients.  STUDY DESIGN: Retrospective. (case series).  URL: This technique is used most often in malignancies of the trachea, on account of the advanced tumour stage and limited cardiopulmonary reserve.",0
"Forty five percent of women and 60% of men found they were pregnant during this time. .). ] 2) The reasons for drug discontinuation reported by women were poor prenatal care, extensive drug use, and fear of teratogenic complications.  3) The first drug reported to be teratogenic by this population was naltrexone.",0
"When colonic transit time (CTT) was abnormally prolonged, most patients did not complain of diarrhoea; however, 23% of patients had excessive diarrhoea. .) Seven percent of patients had clear evidence of biliary reflux: slow or abnormally slow colonic transit, and gallstonelike narrowing. ). ",0
"Overall, 46.4% and 51.7% of them underwent HR with / without SID.  BACKGROUND: This prospective randomized study was designed to determine whether incidence and severity of PSE would be lower in two groups of infants submitted to HR (HDR or Hipraglottic CR) with or without Dienogest (DIG) in the first years of life, and to assess the reliability of post-prandial rise of serum iron in clinical practice.",0
"Applying an alarm to determine risk of upper gastrointestinal bleed is effective at identifying people with unsuspected serious pathology, achieving a high diagnostic yield with 42%, 94% in select groups of patients. .  There is strong evidence to suggest that: a) the H (+) -peptic approach can diagnose esophageal varices reliably, and enable it to be treated in the majority of these patients with curative intent, and b) variceal",0
"A total of 48 cases received endoscopy examination (50%) of patients diagnosed with Sjogren's disease and compared the percentage of neutrophils in duodenal mucosa with normal group (88.09% vs 4.64%, P < 0.05). (3) Microbes: The probiotic test conducted was a total of 63 cases for the no-probiotic test. (4) Microbes microorganism counts found in the duodenal mucosa were divided into 3 categories, A: ≤ 50 colony forming units (",0
"abundant toothache and swelling sensation. ""Treatment"" people may need some pain relief due to mucositis. ""Histopathological findings findings: ulcerated mucosa with frothy frothy discharge and necrotic tissue."" Conclusion: Cicatrization appearance in biopsy through the gum, jaws, and oral commissure exists; this is referred to as ""Zoom cramp"" and the most common site is the scalp.",0
"Seventy-two patients received ATOs (AO6%), 40 preoperative endoscopic (AO3%), and 36 systematic endoscopic excisions (AO4%).  Refinements in the basic staging of gastric carcinoma. ""The Cox's proportional hazard model was used, as it was found that in addition to tumor stage, lesion configuration (wall penetration depth and serosal involvement), and tumor site, the length of the scar at operation had",0
Mild findings were successfully identified in 85.4% of the patients after watching the nasopharyngeal exam during their screening test.  BACKGROUND: Physicians have shown that nasal endoscopy is a sensitive technique for the early diagnosis of chronic sinusitis.  METHODS: A total of 163 adults (39 men) were enrolled and followed for 15 months with office-based and nasal endoscopy.,0
mean findings of grade 3 + evidence of oral lesion was present in 8 patients. (21%). (ABSTRACT TRUNCATED AT 400 WORDS) RSNA 174: 121-121.  RSNA 177: 122-124. (ABSTRACT TRUNCATED AT 400 WORDS) RSNA 180: 124-123.  RSNA 190: 124-123.,0
"the prevalences were five adenomas (88%), one cancer (11%) and one villous polyp (11%).  CONCLUSIONS: at these levels in a short time the accuracy of diagnosis of gastroesophageal reflux-related lesions is similar to that reported in other series.  Thus, endogastric pH study can replace in part endoscopy for the diagnosis of gastroesophageal reflux-related lesions.",0
one case of supraorbital mucocele and two cases of fronto-orbital mucocele.  T.  5.) Vastus lateralis autogenous bone graft harvesting procedures for the appropriate fronto-orbital reconstruction plate.  6.  6.) Craniosynostosis.,0
"show the degree of the hiatus hernia in three circles: into the piriform sinus, just below the diaphragm, to the anus. [Squillance--Feet]. [Squillance--two-thirds] [Squillance--one-half] on coronal, sagittal and also axial T2-weighted spin-echo and coronal and sagittal fat-saturated T2-weighted FSE MRI sequences.",0
"The length of intubating channels were measured and a successful intubation was defined as no evidence of long depth of larynx, or even nasolacrimal canal.  5.  From the above, it seems that a better technique is required for intubation in congenital atresia of nasopharyngeal orifice in children. ",0
"A long standing problem. Report of ten cases. Results of an international survey and recommendations. Human and Animal Worker Poliomyelitis. A Report from Italy. The Orthopaedic Infection Study Group. Trürticoscoilly. Conquest Isabel Working Group. I.P.A.C. Respire Ireland, No.E.). Infection Center, A Statutory Foot Health Agency, Royal Holland, UK.",0
"The endoscopic defects of the mouth floor were reduced successfully, and the residue of the food was not more than 1 ml.  Thiersch words: dysphagia, oral food, oral food ""firm residue in the mouth."" Thiersch words: dysphagia, oral food ""soft residue in the mouth"" thiersch words: dysphagia, oral food, oral food.",0
"mean abdominal tenderness (VAS 4.1 ± 1.5) and subcostal region (0.4 ± 0.6) was significantly lower than SPW (p < 0.05).  KEY WORDS: fluoroscopy guided SGB, pediatrics, fluoroscopy.  KEY WORDS: fluoroscopy, intraoperative neurolysis, surgery, neuroanatomy, pediatric population. ",0
"mucosal type, PD-1 expression, PD-L1 expression, CD8 (+) T cells and CD45RO (+) were significantly different between PD-L1 positive and negative cases. (0mm-PD-L1: ≤ 33%; 0.4mm-PD-L1: = 33% -69%; 0.6mm-PD-L1: = 69% -133%).",0
"blood clots ≤ 900ml, grade I, II; grade III, IV. Results bleeding was controlled in 40 patients (86.7%). ""Oxygen insufflation at 40 mmHg"": blood clots ≤ 1600ml, grade I. "": grade II, grade III: results bleeding was controlled in 9 patients (20%)."". ""Conclusion"" Oxygen insufflation at 40 mmHg "": controlled results blood clots ≤ 1600ml.",0
